Schaltschrank				
	Rittal Kompaktschaltschrank AX 1110.000	E-SS-B-1000-1000-300-001	37208	278,06
	Rittal Schaltschrank AX 1000x1400x300	E-SS-B-AX-1000-1400-300-001	41021	408,03
	Kompakt-Schaltschrank AX 1060.000	E-SS-B-0600600210-7032-002	43082	87,81
	Rittal Schaltschrank AX 400x500x210	E-SS-B-AX-400-500-210-001	41872	71,23
	Schaltschrank Rittal SE 5842.500	E-SS-B-160180040-7035-002	8241	961,13
	Rittal Sockel Element für ES Serie 1600x	E-SS-SOKE-1600-200-001	8284	78,93
	Schaltschrank Rittal SE 5842.500	E-SS-B-160180040-7035-002	30443	813,02
	Schaltschranksockel Eckstück VX8620.025	E-SS-SOKE-1200-200-001	30446	31,91
	Schaltschrank Rittal VX8605.000	E-SS-BA-6020050-7035-001	30444	468
	Schaltschranksockel Eckstück VX8620.022	E-SS-SOKE-600-200-001	30447	18,9
	Rittal Sockel Blende für VX 500x200	E-SS-SOKB-500-200-002	22425	9,92
	Rittal Montageplattenzwischenst. 2000mm für TS. TS 4591.700	E-SS-ZUB-MPZ-TS-2000-001	8319	50,07
	Rittal  Anreihlaschen innen VX  8617.500	E-SS-ZUB-AL-VX-001	23067	2,57
	Rittal Anreihwinkel TS 8800.430	E-SS-ZUB-AW-TS-001	19058	1,82
	Rittal Ablagepult TS4638.600	E-SS-AP-600-001	8223	96,03
	Rittal Scharnier 180° VX 8618.330	E-SS-ZUB-S-180-002	30459	6,53
	Masseband für Erdung 200mm	E-SS-MB-200-001	25273	3,13
	Seitenwandsatz für Rittal Schaltschr. VX	E-SS-ZUB-SW-200050-7035-002	18609	117,47
	Rittal Schaltplantasche A4 SZ 2514.000	E-SS-ZUB-SSZ-AL-DV-001	8324	6,3
	Rittal Systemleuchte 900 Lumen 24V	E-SS-ZUB-SL-900-002	45932	98,03
	Rittal Anschlussleitung Einspeisung SZ 4315.150	E-SS-ZUB-ASZ-AL-E-001	8307	17,73
